#OTU ID	MM933M	MM936M	MM941M	MM943M	MM9362CU	MMS700	MMS701	MMS702	MMS703	MMS704	MMS705	MMS706	MMS707	MMS708	MMS709	MMS710	MMS711	MMS712	MMS713	MMS714	MMS715	MMS716	MMS717	MMS890	MMS891	MMS900	MMS901	MMS902	MMS903	MMS904	MMS905	MMS906	MMS907	MMS908	MMS909	MMS910	MMS911	MMS912	MMS913	MMS914	MMS915	MMS916	MMS917	MMS918	MMS919	MMS920	MMS921	MMS922	MMS923	MMS924	MMS925	MMS928	MMS929	MMS930	MMS931	MMS932	MMS938	MMS939	MMS942	MMS943	MMS944	taxonomy
denovo21	7.2045	0.0	4.4015	0.0	2.2879	2.5041	0.0	0.0	0.0	0.0	0.0	1.8309	0.0	2.9726	0.0	0.0	0.0	0.0	0.0	0.0	3.9389	1.3023	0.0	2.8855	3.4207	3.4726	4.3584	0.0	3.7549	2.3219	3.2332	5.7155	15.209	3.217	0.0	0.0	0.0	2.1806	2.7543	0.0	3.3429	0.0	0.0	0.0	2.3988	3.623	1.4272	1.9175	3.5502	0.0	2.3127	3.9341	3.2624	2.4139	3.6637	0.0	0.0	2.8349	2.9726	0.0	3.8684	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__Archaeospora; s__sp
denovo20	2.8816	3.3956	11.317	0.0	5.2439	8.9551	1.8745	12.398	7.2783	4.8861	0.0	7.4077	0.0	0.0	8.9603	2.2296	10.956	2.2338	10.657	9.5228	2.1967	9.3681	2.2768	0.0	3.4207	6.9332	0.0	0.0	2.858	3.1699	3.8525	2.6217	0.0	3.217	7.1625	4.6394	6.3399	9.7055	5.3656	1.6815	2.0175	0.0	10.513	10.034	6.5701	11.698	7.7517	8.478	11.457	8.4517	9.5218	5.2889	0.0	0.0	3.6637	3.9341	4.2931	4.2783	6.1188	3.8104	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Paraglomerales; f__Paraglomeraceae; g__Paraglomus; s__laccatum
denovo748992	0.0	0.0	0.0	3.1296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1967	0.0	1.5567	4.9317	0.0	0.0	0.0	0.0	5.0556	5.2348	0.0	0.0	0.0	0.0	6.1146	2.437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3219	0.0	0.0	0.0	0.0	0.0	2.585	0.0	0.0	5.1277	9.4623	1.9175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8684	No blast hit
denovo238	5.5105	3.3956	5.5844	5.0003	4.2076	4.2995	4.4811	2.7902	3.4529	4.1813	3.2773	3.1165	3.5549	2.9726	3.6611	2.2296	1.9882	3.9832	2.0513	4.8034	3.5549	3.4936	0.0	3.4039	3.9601	4.1566	3.9666	2.437	2.858	4.858	3.2332	4.4342	4.8762	3.217	3.2278	2.5322	4.6439	2.1806	1.9537	2.9303	3.7219	3.7424	0.0	1.9786	3.255	3.623	2.6011	2.7127	2.1926	0.0	0.0	4.6328	3.6394	2.4139	2.2901	0.0	2.4985	2.8349	0.0	2.9097	5.1298	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Archaeosporaceae; g__Archaeospora; s__sp
denovo235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.6475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6313	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.8859	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
denovo236	4.3297	0.0	0.0	0.0	0.0	6.4884	4.2977	2.7902	0.0	0.0	0.0	6.5403	0.0	0.0	7.1175	6.2945	0.0	2.2338	0.0	0.0	0.0	3.0586	0.0	0.0	0.0	5.4845	0.0	1.6815	0.0	2.3219	1.4226	2.6217	2.1846	2.3644	0.0	0.0	0.0	4.2225	4.4002	4.3832	0.0	0.0	0.0	6.3293	6.5037	5.1277	3.477	3.8962	0.0	0.0	3.1597	0.0	0.0	0.0	0.0	0.0	0.0	2.8349	0.0	0.0	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__sp
denovo233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4529	0.0	0.0	0.0	0.0	0.0	0.0	5.2441	0.0	0.0	0.0	0.0	5.4598	0.0	6.9551	7.8319	0.0	0.0	2.5553	5.2678	2.0444	6.1085	4.0113	0.0	0.0	4.1373	4.7062	3.9405	2.3219	2.1806	1.9537	1.6815	2.0175	0.0	0.0	0.0	3.255	0.0	2.6011	0.0	0.0	0.0	2.3127	0.0	1.9506	0.0	0.0	0.0	7.2273	2.8349	3.8776	2.0899	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__MO_G47
denovo232	0.0	0.0	0.0	0.0	0.0	4.8598	0.0	5.7617	0.0	0.0	0.0	4.732	0.0	0.0	3.8671	2.2296	0.0	0.0	4.7091	4.3385	0.0	1.3023	4.5896	6.0201	0.0	3.8548	0.0	4.2219	2.0444	0.0	0.0	5.5666	0.0	5.8849	3.7605	2.5322	0.0	5.755	0.0	4.7808	0.0	5.568	0.0	0.0	0.0	4.3124	0.0	4.7004	4.4873	0.0	0.0	0.0	6.923	7.3707	0.0	0.0	2.4985	4.2783	5.1394	2.0899	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Archaeosporales; f__Ambisporaceae; g__Ambispora; s__Liu2012a_Ar_1
denovo187	7.9987	10.529	0.0	0.0	0.0	0.0	3.1699	2.7902	0.0	2.7472	0.0	0.0	0.0	0.0	0.0	0.0	1.9882	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1266	0.0	0.0	2.0444	0.0	0.0	4.7427	0.0	2.3644	0.0	0.0	0.0	6.8778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2551	2.6011	3.8962	0.0	0.0	0.0	0.0	1.9506	0.0	0.0	0.0	0.0	0.0	0.0	2.0899	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__sp
denovo186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.4192	0.0	0.0	7.066	0.0	0.0	1.5567	7.024	1.9882	0.0	2.0513	2.2768	4.7054	0.0	0.0	0.0	0.0	0.0	4.3584	0.0	2.858	2.3219	0.0	0.0	0.0	2.3644	0.0	0.0	2.3219	0.0	1.9537	1.6815	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.2384	3.0255	0.0	0.0	0.0	0.0	2.4139	0.0	0.0	0.0	0.0	0.0	3.8104	0.0	k__Fungi; p__Glomeromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Glomus; s__NES27
